zipcode,day,positive,total,zcta_cum_perc_pos,neighborhood_name,borough_group,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,newcases
11360,2020-05-03,284,775,36.65,Flushing - Clearview,Queens,NA,NA,NA,NA,NA,6
11361,2020-05-03,388,950,40.84,Bayside - Little Neck,Queens,NA,NA,NA,NA,NA,3
11362,2020-05-03,273,690,39.57,Bayside - Little Neck,Queens,NA,NA,NA,NA,NA,0
11363,2020-05-03,89,245,36.33,Bayside - Little Neck,Queens,NA,NA,NA,NA,NA,0
11364,2020-05-03,419,1082,38.72,Bayside - Little Neck,Queens,NA,NA,NA,NA,NA,4
11365,2020-05-03,724,1667,43.43,Fresh Meadows,Queens,NA,NA,NA,NA,NA,8
11366,2020-05-03,352,757,46.5,Fresh Meadows,Queens,NA,NA,NA,NA,NA,2
11367,2020-05-03,887,2065,42.95,Fresh Meadows,Queens,NA,NA,NA,NA,NA,12
11368,2020-05-03,3702,6022,61.47,West Queens,Queens,NA,NA,NA,NA,NA,76
11369,2020-05-03,1341,2377,56.42,West Queens,Queens,NA,NA,NA,NA,NA,21
11370,2020-05-03,1210,2342,51.67,West Queens,Queens,NA,NA,NA,NA,NA,9
11372,2020-05-03,2123,3727,56.96,West Queens,Queens,NA,NA,NA,NA,NA,22
11373,2020-05-03,2770,5081,54.52,West Queens,Queens,NA,NA,NA,NA,NA,39
11374,2020-05-03,931,2163,43.04,Ridgewood - Forest Hills,Queens,NA,NA,NA,NA,NA,3
11375,2020-05-03,1362,3160,43.1,Ridgewood - Forest Hills,Queens,NA,NA,NA,NA,NA,15
11377,2020-05-03,1824,3771,48.37,West Queens,Queens,NA,NA,NA,NA,NA,24
11378,2020-05-03,644,1465,43.96,West Queens,Queens,NA,NA,NA,NA,NA,11
11379,2020-05-03,697,1623,42.95,Ridgewood - Forest Hills,Queens,NA,NA,NA,NA,NA,0
11385,2020-05-03,1811,3861,46.9,Ridgewood - Forest Hills,Queens,NA,NA,NA,NA,NA,29
11411,2020-05-03,602,1183,50.89,Southeast Queens,Queens,NA,NA,NA,NA,NA,12
