,,,,,Race and Ethnicity : Summarize
Topic: Health Behavior and Population
Subtopic: Social and Economic Conditions
Indicator Name: Race and Ethnicity
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Percent Asian Alone,Percent Black Alone,Percent Hispanic Alone,Percent Non-White,Percent White Alone,Total Population,Notes Percent Asian Alone,Notes Percent Black Alone,Notes Percent Hispanic Alone,Notes Percent Non-White,Notes Percent White Alone,Notes Total Population,
2012-16,Neighborhood (UHF 42),Queens, Southwest Queens,407,Race and Ethnicity,23.9,10.2,34.2,80.3,19.6,"291,881",,,,,,,
2012-16,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Race and Ethnicity,8.8,18.0,22.8,52.8,47.3,"123,106",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Race and Ethnicity,36.3,2.3,44.8,85.0,15.0,"130,393",,,,,,,
2012-16,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Race and Ethnicity,24.9,6.4,20.8,55.0,45.0,"194,662",,,,,,,
2012-16,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Race and Ethnicity,9.4,2.9,9.0,24.2,75.8,"222,810",,,,,,,
2012-16,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Race and Ethnicity,9.2,6.0,15.8,33.7,66.3,"218,771",,,,,,,
2012-16,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Race and Ethnicity,3.0,11.7,65.6,82.4,17.6,"272,304",,,,,,,
2012-16,Neighborhood (UHF 42),Queens, West Queens,402,Race and Ethnicity,26.1,5.7,51.7,85.2,14.8,"470,128",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Race and Ethnicity,5.7,26.8,45.5,79.6,20.4,"224,198",,,,,,,
2012-16,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Race and Ethnicity,13.9,4.1,14.3,34.6,65.4,"88,585",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Race and Ethnicity,15.9,6.3,27.2,52.2,47.8,"172,468",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Race and Ethnicity,24.0,1.5,15.4,42.7,57.3,"125,011",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Race and Ethnicity,42.7,1.8,11.8,58.7,41.3,"119,917",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Race and Ethnicity,3.2,53.0,18.8,76.9,23.1,"142,689",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Race and Ethnicity,15.0,56.1,11.7,88.3,11.7,"200,852",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bensonhurst,21,Race and Ethnicity,39.1,0.9,14.4,55.8,44.2,"189,076",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Borough Park,22,Race and Ethnicity,14.0,2.3,10.9,29.3,70.7,"164,842",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brooklyn Heights/Fort Greene,12,Race and Ethnicity,9.2,26.1,15.8,55.3,44.7,"135,679",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brownsville/Ocean Hill,26,Race and Ethnicity,1.5,74.2,21.1,97.9,2.1,"123,596",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bushwick,14,Race and Ethnicity,4.8,18.3,60.5,85.2,14.8,"135,837",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Central Harlem,36,Race and Ethnicity,3.2,57.1,23.6,87.0,13.1,"135,967",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Chelsea/Clinton/Midtown,31,Race and Ethnicity,16.2,5.4,14.6,39.1,60.9,"149,309",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Coney Island,23,Race and Ethnicity,14.5,10.6,15.0,42.5,57.5,"109,876",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East Flatbush,27,Race and Ethnicity,1.4,87.3,7.4,97.8,2.2,"138,643",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - East Harlem,37,Race and Ethnicity,7.5,29.8,45.2,84.8,15.2,"122,550",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East New York/Starret City,15,Race and Ethnicity,4.5,52.2,37.1,96.2,3.8,"155,735",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Elmhurst/Corona,42,Race and Ethnicity,33.2,7.9,50.7,93.7,6.3,"142,289",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatbush,24,Race and Ethnicity,10.5,32.0,15.1,60.4,39.6,"162,030",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatlands/Canarsie,28,Race and Ethnicity,4.3,63.0,8.0,77.0,23.0,"208,920",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Flushing/Whitestone,45,Race and Ethnicity,52.1,2.1,17.6,74.4,25.6,"250,162",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Forest Hills/Rego Park,44,Race and Ethnicity,27.1,2.9,15.7,48.9,51.1,"114,637",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Greenwich Village/Financial District,29,Race and Ethnicity,15.9,2.2,7.0,28.4,71.6,"155,488",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Highbridge/South Concourse,3,Race and Ethnicity,1.7,30.8,64.0,98.3,1.7,"141,055",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Hillcrest/Fresh Meadows,46,Race and Ethnicity,33.9,11.4,18.6,68.3,31.6,"162,548",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Howard Beach/South Ozone Park,48,Race and Ethnicity,21.0,15.1,25.7,78.4,21.6,"137,073",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Jackson Heights,41,Race and Ethnicity,16.9,4.8,66.7,90.0,10.0,"180,562",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Jamaica,50,Race and Ethnicity,11.6,62.1,16.9,98.3,1.7,"239,699",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Kew Gardens/Woodhaven,47,Race and Ethnicity,26.3,5.8,41.8,82.1,17.9,"154,987",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Kingsbridge Heights/Mosholu,5,Race and Ethnicity,6.1,15.4,69.7,93.4,6.6,"129,955",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Lower East Side/Chinatown,30,Race and Ethnicity,31.0,7.9,24.9,66.9,33.1,"160,709",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - Mid Island,54,Race and Ethnicity,12.5,3.7,13.6,31.7,68.3,"135,323",,,,,,,
2012-16,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Middle Village/Ridgewood,43,Race and Ethnicity,8.4,1.5,35.8,46.9,53.1,"174,240",,,,,,,
