"","date_of_interest","boro","case_count","hospitalized_count","death_count"
"655",2020-07-16,"Queens",106,5,3
"656",2020-07-17,"Queens",105,14,8
"657",2020-07-18,"Queens",49,5,2
"658",2020-07-19,"Queens",46,10,0
"659",2020-07-20,"Queens",108,7,3
"660",2020-07-21,"Queens",99,5,3
"661",2020-07-22,"Queens",76,7,4
"662",2020-07-23,"Queens",58,4,4
"663",2020-07-24,"Queens",75,8,1
"664",2020-07-25,"Queens",45,6,2
"665",2020-07-26,"Queens",33,4,2
"666",2020-07-27,"Queens",78,11,1
"667",2020-07-28,"Queens",72,6,4
"668",2020-07-29,"Queens",66,3,1
"669",2020-07-30,"Queens",62,9,0
"670",2020-07-31,"Queens",60,4,1
"671",2020-08-01,"Queens",54,1,1
"672",2020-08-02,"Queens",33,9,0
"673",2020-08-03,"Queens",86,3,1
"674",2020-08-04,"Queens",47,5,2
"675",2020-08-05,"Queens",82,9,2
"676",2020-08-06,"Queens",72,7,1
"677",2020-08-07,"Queens",55,4,2
"678",2020-08-08,"Queens",42,3,0
"679",2020-08-09,"Queens",36,3,2
"680",2020-08-10,"Queens",69,7,2
"681",2020-08-11,"Queens",45,2,2
"682",2020-08-12,"Queens",81,8,0
"683",2020-08-13,"Queens",61,6,0
"684",2020-08-14,"Queens",55,8,0
"685",2020-08-15,"Queens",27,4,0
"686",2020-08-16,"Queens",19,5,1
"687",2020-08-17,"Queens",16,0,0
"688",2020-08-18,"Queens",2,0,0
"689",2020-02-29,"Staten Island",0,0,0
"690",2020-03-01,"Staten Island",0,1,0
"691",2020-03-02,"Staten Island",0,0,0
"692",2020-03-03,"Staten Island",0,1,0
"693",2020-03-04,"Staten Island",0,2,0
"694",2020-03-05,"Staten Island",0,1,0
"695",2020-03-06,"Staten Island",1,2,0
"696",2020-03-07,"Staten Island",1,0,0
"697",2020-03-08,"Staten Island",1,0,0
"698",2020-03-09,"Staten Island",3,3,0
"699",2020-03-10,"Staten Island",2,5,0
"700",2020-03-11,"Staten Island",3,3,0
"701",2020-03-12,"Staten Island",13,5,0
"702",2020-03-13,"Staten Island",26,3,0
"703",2020-03-14,"Staten Island",23,8,0
"704",2020-03-15,"Staten Island",46,16,1
"705",2020-03-16,"Staten Island",91,17,0
"706",2020-03-17,"Staten Island",108,21,0
"707",2020-03-18,"Staten Island",150,24,0
"708",2020-03-19,"Staten Island",258,32,4
"709",2020-03-20,"Staten Island",310,30,3
"710",2020-03-21,"Staten Island",248,35,1
"711",2020-03-22,"Staten Island",317,32,6
"712",2020-03-23,"Staten Island",209,46,8
"713",2020-03-24,"Staten Island",349,48,6
"714",2020-03-25,"Staten Island",394,49,4
"715",2020-03-26,"Staten Island",404,48,10
"716",2020-03-27,"Staten Island",371,57,7
"717",2020-03-28,"Staten Island",266,53,13
"718",2020-03-29,"Staten Island",230,57,17
"719",2020-03-30,"Staten Island",398,68,11
"720",2020-03-31,"Staten Island",237,69,22
"721",2020-04-01,"Staten Island",263,74,16
"722",2020-04-02,"Staten Island",369,79,30
"723",2020-04-03,"Staten Island",345,63,29
"724",2020-04-04,"Staten Island",345,51,20
"725",2020-04-05,"Staten Island",323,65,22
"726",2020-04-06,"Staten Island",730,81,24
"727",2020-04-07,"Staten Island",629,70,29
"728",2020-04-08,"Staten Island",561,57,34
"729",2020-04-09,"Staten Island",297,56,25
"730",2020-04-10,"Staten Island",300,54,19
"731",2020-04-11,"Staten Island",312,49,28
"732",2020-04-12,"Staten Island",252,45,26
"733",2020-04-13,"Staten Island",185,56,25
"734",2020-04-14,"Staten Island",290,52,24
"735",2020-04-15,"Staten Island",317,33,24
"736",2020-04-16,"Staten Island",210,38,14
"737",2020-04-17,"Staten Island",280,38,15
"738",2020-04-18,"Staten Island",153,25,19
"739",2020-04-19,"Staten Island",134,31,19
"740",2020-04-20,"Staten Island",224,29,16
"741",2020-04-21,"Staten Island",216,27,11
"742",2020-04-22,"Staten Island",173,20,14
"743",2020-04-23,"Staten Island",128,19,13
"744",2020-04-24,"Staten Island",143,35,14
"745",2020-04-25,"Staten Island",88,26,9
"746",2020-04-26,"Staten Island",46,23,7
"747",2020-04-27,"Staten Island",107,20,9
"748",2020-04-28,"Staten Island",129,20,8
"749",2020-04-29,"Staten Island",124,19,14
"750",2020-04-30,"Staten Island",130,19,11
"751",2020-05-01,"Staten Island",77,12,8
"752",2020-05-02,"Staten Island",60,18,12
"753",2020-05-03,"Staten Island",35,14,15
"754",2020-05-04,"Staten Island",89,16,8
"755",2020-05-05,"Staten Island",78,12,12
"756",2020-05-06,"Staten Island",60,9,8
"757",2020-05-07,"Staten Island",60,9,4
"758",2020-05-08,"Staten Island",42,12,5
"759",2020-05-09,"Staten Island",32,7,3
"760",2020-05-10,"Staten Island",14,5,8
"761",2020-05-11,"Staten Island",27,4,3
"762",2020-05-12,"Staten Island",53,9,6
"763",2020-05-13,"Staten Island",47,9,6
"764",2020-05-14,"Staten Island",42,13,6
"765",2020-05-15,"Staten Island",33,7,6
"766",2020-05-16,"Staten Island",25,9,2
"767",2020-05-17,"Staten Island",10,4,2
"768",2020-05-18,"Staten Island",38,5,2
"769",2020-05-19,"Staten Island",42,10,5
"770",2020-05-20,"Staten Island",57,8,7
"771",2020-05-21,"Staten Island",78,9,3
"772",2020-05-22,"Staten Island",32,7,5
"773",2020-05-23,"Staten Island",37,6,2
"774",2020-05-24,"Staten Island",14,5,5
"775",2020-05-25,"Staten Island",17,6,3
"776",2020-05-26,"Staten Island",56,4,1
"777",2020-05-27,"Staten Island",43,3,2
"778",2020-05-28,"Staten Island",26,8,1
"779",2020-05-29,"Staten Island",27,10,2
"780",2020-05-30,"Staten Island",16,3,1
"781",2020-05-31,"Staten Island",12,2,2
"782",2020-06-01,"Staten Island",38,2,3
"783",2020-06-02,"Staten Island",33,6,1
"784",2020-06-03,"Staten Island",44,5,3
"785",2020-06-04,"Staten Island",29,1,2
"786",2020-06-05,"Staten Island",8,1,1
"787",2020-06-06,"Staten Island",7,0,0
"788",2020-06-07,"Staten Island",4,0,1
"789",2020-06-08,"Staten Island",16,2,0
"790",2020-06-09,"Staten Island",19,1,2
"791",2020-06-10,"Staten Island",15,2,2
"792",2020-06-11,"Staten Island",15,1,1
"793",2020-06-12,"Staten Island",18,1,0
"794",2020-06-13,"Staten Island",2,1,1
"795",2020-06-14,"Staten Island",4,0,2
"796",2020-06-15,"Staten Island",17,0,2
"797",2020-06-16,"Staten Island",21,0,0
"798",2020-06-17,"Staten Island",17,0,0
"799",2020-06-18,"Staten Island",24,0,2
"800",2020-06-19,"Staten Island",9,0,2
"801",2020-06-20,"Staten Island",6,0,2
"802",2020-06-21,"Staten Island",9,1,2
"803",2020-06-22,"Staten Island",18,2,3
"804",2020-06-23,"Staten Island",16,1,0
"805",2020-06-24,"Staten Island",13,1,1
"806",2020-06-25,"Staten Island",25,1,2
"807",2020-06-26,"Staten Island",12,3,1
"808",2020-06-27,"Staten Island",12,1,1
"809",2020-06-28,"Staten Island",11,0,2
"810",2020-06-29,"Staten Island",23,1,3
"811",2020-06-30,"Staten Island",28,2,2
"812",2020-07-01,"Staten Island",39,0,1
"813",2020-07-02,"Staten Island",17,0,4
"814",2020-07-03,"Staten Island",6,1,2
"815",2020-07-04,"Staten Island",11,0,1
"816",2020-07-05,"Staten Island",11,0,0
"817",2020-07-06,"Staten Island",28,1,0
"818",2020-07-07,"Staten Island",32,0,1
"819",2020-07-08,"Staten Island",26,1,4
"820",2020-07-09,"Staten Island",19,0,0
"821",2020-07-10,"Staten Island",14,0,1
"822",2020-07-11,"Staten Island",13,0,0
"823",2020-07-12,"Staten Island",13,0,0
"824",2020-07-13,"Staten Island",34,4,0
"825",2020-07-14,"Staten Island",20,0,0
"826",2020-07-15,"Staten Island",21,1,0
"827",2020-07-16,"Staten Island",33,0,0
"828",2020-07-17,"Staten Island",22,1,0
"829",2020-07-18,"Staten Island",19,1,0
"830",2020-07-19,"Staten Island",17,2,0
"831",2020-07-20,"Staten Island",30,3,0
"832",2020-07-21,"Staten Island",21,3,0
"833",2020-07-22,"Staten Island",20,1,0
"834",2020-07-23,"Staten Island",25,5,0
"835",2020-07-24,"Staten Island",28,2,1
"836",2020-07-25,"Staten Island",13,3,0
"837",2020-07-26,"Staten Island",19,1,0
"838",2020-07-27,"Staten Island",23,1,0
"839",2020-07-28,"Staten Island",18,3,0
"840",2020-07-29,"Staten Island",12,2,1
"841",2020-07-30,"Staten Island",12,0,0
"842",2020-07-31,"Staten Island",17,1,0
"843",2020-08-01,"Staten Island",7,2,0
"844",2020-08-02,"Staten Island",6,4,0
"845",2020-08-03,"Staten Island",18,1,0
"846",2020-08-04,"Staten Island",5,1,0
"847",2020-08-05,"Staten Island",11,0,0
"848",2020-08-06,"Staten Island",17,2,0
"849",2020-08-07,"Staten Island",6,0,0
"850",2020-08-08,"Staten Island",7,0,0
"851",2020-08-09,"Staten Island",11,1,0
"852",2020-08-10,"Staten Island",21,1,0
"853",2020-08-11,"Staten Island",16,1,0
"854",2020-08-12,"Staten Island",16,1,0
"855",2020-08-13,"Staten Island",8,0,0
"856",2020-08-14,"Staten Island",15,2,1
"857",2020-08-15,"Staten Island",2,1,0
"858",2020-08-16,"Staten Island",3,2,0
"859",2020-08-17,"Staten Island",3,0,0
"860",2020-08-18,"Staten Island",0,0,0
