"","date_of_interest","boro","case_count","probable_case_count","hospitalized_count","death_count","probable_death_count","case_count_7day_avg","all_case_count_7day_avg","hospitalized_count_7day_avg","death_count_7day_avg","all_death_count_7day_avg"
"1200",2020-03-19,"Staten Island",258,0,28,4,0,100,100,16,1,1
"1201",2020-03-20,"Staten Island",310,1,31,3,1,141,141,20,1,1
"1202",2020-03-21,"Staten Island",248,2,35,1,2,173,174,24,1,2
"1203",2020-03-22,"Staten Island",317,1,29,6,1,212,212,26,2,3
"1204",2020-03-23,"Staten Island",209,0,50,8,0,229,229,31,3,4
"1205",2020-03-24,"Staten Island",350,0,47,6,0,263,264,35,4,5
"1206",2020-03-25,"Staten Island",394,0,52,4,0,298,299,39,5,5
"1207",2020-03-26,"Staten Island",405,2,52,10,2,319,320,42,5,6
"1208",2020-03-27,"Staten Island",370,0,64,7,0,328,328,47,6,7
"1209",2020-03-28,"Staten Island",266,1,53,13,1,330,331,50,8,8
"1210",2020-03-29,"Staten Island",230,3,58,17,3,318,319,54,9,10
"1211",2020-03-30,"Staten Island",398,0,74,11,0,345,346,57,10,11
"1212",2020-03-31,"Staten Island",237,1,70,22,1,329,330,60,12,13
"1213",2020-04-01,"Staten Island",263,3,76,16,3,310,311,64,14,15
"1214",2020-04-02,"Staten Island",369,7,83,29,6,305,307,68,16,18
"1215",2020-04-03,"Staten Island",345,4,66,29,4,301,304,69,20,22
"1216",2020-04-04,"Staten Island",345,2,54,20,2,312,315,69,21,23
"1217",2020-04-05,"Staten Island",323,6,68,22,6,326,329,70,21,24
"1218",2020-04-06,"Staten Island",730,8,82,24,8,373,378,71,23,27
"1219",2020-04-07,"Staten Island",630,9,71,28,9,429,435,71,24,29
"1220",2020-04-08,"Staten Island",562,9,59,34,9,472,478,69,27,33
"1221",2020-04-09,"Staten Island",298,9,54,25,9,462,469,65,26,33
"1222",2020-04-10,"Staten Island",300,5,58,19,5,455,462,64,25,31
"1223",2020-04-11,"Staten Island",312,4,51,28,3,451,458,63,26,33
"1224",2020-04-12,"Staten Island",253,7,46,26,7,441,448,60,26,33
"1225",2020-04-13,"Staten Island",185,8,57,25,8,363,370,57,26,34
"1226",2020-04-14,"Staten Island",290,4,49,24,4,314,321,53,26,32
"1227",2020-04-15,"Staten Island",317,6,37,24,7,279,285,50,24,31
"1228",2020-04-16,"Staten Island",210,3,40,14,3,267,272,48,23,28
"1229",2020-04-17,"Staten Island",280,4,36,15,4,264,269,45,22,27
"1230",2020-04-18,"Staten Island",153,6,26,19,6,241,247,42,21,27
"1231",2020-04-19,"Staten Island",134,8,32,19,8,224,230,40,20,26
"1232",2020-04-20,"Staten Island",224,6,30,16,6,230,235,36,19,24
"1233",2020-04-21,"Staten Island",216,5,26,11,5,219,225,32,17,22
"1234",2020-04-22,"Staten Island",173,4,19,14,4,199,204,30,15,21
"1235",2020-04-23,"Staten Island",128,4,21,13,4,187,192,27,15,21
"1236",2020-04-24,"Staten Island",143,3,32,14,3,167,172,27,15,20
"1237",2020-04-25,"Staten Island",88,2,22,9,2,158,163,26,14,18
"1238",2020-04-26,"Staten Island",46,3,17,7,3,145,149,24,12,16
"1239",2020-04-27,"Staten Island",106,3,20,9,3,129,132,22,11,14
"1240",2020-04-28,"Staten Island",130,2,20,8,2,116,119,22,11,14
"1241",2020-04-29,"Staten Island",124,2,15,14,2,109,112,21,11,13
"1242",2020-04-30,"Staten Island",130,1,14,11,1,110,112,20,10,13
"1243",2020-05-01,"Staten Island",78,6,9,8,6,100,103,17,9,12
"1244",2020-05-02,"Staten Island",61,1,18,12,1,96,99,16,10,12
"1245",2020-05-03,"Staten Island",35,1,12,15,1,95,97,15,11,13
"1246",2020-05-04,"Staten Island",89,4,16,8,4,92,95,15,11,13
"1247",2020-05-05,"Staten Island",79,0,13,12,0,85,87,14,11,14
"1248",2020-05-06,"Staten Island",60,0,16,8,0,76,78,14,11,12
"1249",2020-05-07,"Staten Island",60,2,14,4,2,66,68,14,10,12
"1250",2020-05-08,"Staten Island",42,0,12,5,0,61,62,14,9,10
"1251",2020-05-09,"Staten Island",32,0,7,3,0,57,58,13,8,9
"1252",2020-05-10,"Staten Island",14,0,6,8,0,54,55,12,7,8
"1253",2020-05-11,"Staten Island",27,1,2,3,1,45,45,10,6,7
"1254",2020-05-12,"Staten Island",53,0,11,6,0,41,42,10,5,6
"1255",2020-05-13,"Staten Island",47,0,14,6,0,39,40,9,5,5
"1256",2020-05-14,"Staten Island",42,2,11,6,2,37,37,9,5,6
"1257",2020-05-15,"Staten Island",33,0,7,6,0,35,36,8,5,6
"1258",2020-05-16,"Staten Island",25,0,5,2,0,34,35,8,5,6
"1259",2020-05-17,"Staten Island",10,0,5,2,0,34,34,8,4,5
"1260",2020-05-18,"Staten Island",38,0,6,2,0,35,36,8,4,5
"1261",2020-05-19,"Staten Island",42,0,5,5,0,34,34,8,4,4
"1262",2020-05-20,"Staten Island",56,0,4,7,0,35,35,6,4,5
"1263",2020-05-21,"Staten Island",78,0,9,3,0,40,40,6,4,4
"1264",2020-05-22,"Staten Island",32,1,4,5,1,40,40,5,4,4
"1265",2020-05-23,"Staten Island",37,0,4,2,0,42,42,5,4,4
"1266",2020-05-24,"Staten Island",15,0,5,5,0,43,43,5,4,4
"1267",2020-05-25,"Staten Island",17,0,3,2,0,40,40,5,4,4
"1268",2020-05-26,"Staten Island",57,0,2,1,0,42,42,4,4,4
"1269",2020-05-27,"Staten Island",43,0,4,2,0,40,40,4,3,3
"1270",2020-05-28,"Staten Island",30,0,6,1,0,33,33,4,3,3
"1271",2020-05-29,"Staten Island",27,2,4,2,2,32,33,4,2,2
"1272",2020-05-30,"Staten Island",16,0,2,1,0,29,30,4,2,2
"1273",2020-05-31,"Staten Island",12,0,0,2,0,29,29,3,2,2
"1274",2020-06-01,"Staten Island",42,0,3,3,0,32,33,3,2,2
"1275",2020-06-02,"Staten Island",34,2,5,1,1,29,30,3,2,2
"1276",2020-06-03,"Staten Island",45,0,4,3,0,29,30,3,2,2
"1277",2020-06-04,"Staten Island",30,1,2,2,1,29,30,3,2,3
"1278",2020-06-05,"Staten Island",8,0,2,1,0,27,27,3,2,2
"1279",2020-06-06,"Staten Island",7,1,2,0,0,25,26,3,2,2
"1280",2020-06-07,"Staten Island",4,1,4,1,0,24,25,3,2,2
"1281",2020-06-08,"Staten Island",20,1,2,0,0,21,22,3,1,1
"1282",2020-06-09,"Staten Island",19,0,3,2,0,19,20,3,1,1
"1283",2020-06-10,"Staten Island",14,1,3,2,0,15,15,3,1,1
"1284",2020-06-11,"Staten Island",16,0,2,1,0,13,13,3,1,1
"1285",2020-06-12,"Staten Island",18,1,3,0,0,14,15,3,1,1
"1286",2020-06-13,"Staten Island",2,0,1,1,0,13,14,3,1,1
"1287",2020-06-14,"Staten Island",4,0,0,2,0,13,14,2,1,1
"1288",2020-06-15,"Staten Island",18,0,0,2,0,13,13,2,1,1
"1289",2020-06-16,"Staten Island",20,0,1,0,0,13,13,1,1,1
"1290",2020-06-17,"Staten Island",17,0,0,0,0,14,14,1,1,1
"1291",2020-06-18,"Staten Island",25,0,2,2,0,15,15,1,1,1
"1292",2020-06-19,"Staten Island",9,1,0,2,0,14,14,1,1,1
"1293",2020-06-20,"Staten Island",6,0,1,2,0,14,14,1,1,1
"1294",2020-06-21,"Staten Island",9,0,2,1,0,15,15,1,1,1
"1295",2020-06-22,"Staten Island",18,0,2,3,0,15,15,1,1,1
"1296",2020-06-23,"Staten Island",16,1,2,0,0,14,15,1,1,1
"1297",2020-06-24,"Staten Island",14,0,3,1,0,14,14,2,2,2
"1298",2020-06-25,"Staten Island",28,2,3,1,0,14,15,2,1,1
"1299",2020-06-26,"Staten Island",16,0,2,1,0,15,16,2,1,1
"1300",2020-06-27,"Staten Island",13,1,2,1,1,16,17,2,1,1
"1301",2020-06-28,"Staten Island",11,1,0,1,0,17,17,2,1,1
"1302",2020-06-29,"Staten Island",23,1,2,3,0,17,18,2,1,1
"1303",2020-06-30,"Staten Island",29,0,2,2,0,19,20,2,1,2
"1304",2020-07-01,"Staten Island",39,2,0,1,0,23,24,2,1,2
"1305",2020-07-02,"Staten Island",17,1,0,4,0,21,22,1,2,2
"1306",2020-07-03,"Staten Island",8,1,1,2,0,20,21,1,2,2
"1307",2020-07-04,"Staten Island",12,1,1,1,0,20,21,1,2,2
"1308",2020-07-05,"Staten Island",12,0,0,0,0,20,21,1,2,2
"1309",2020-07-06,"Staten Island",28,0,2,0,0,21,21,1,1,1
"1310",2020-07-07,"Staten Island",32,3,1,1,0,21,22,1,1,1
"1311",2020-07-08,"Staten Island",25,2,1,2,0,19,20,1,1,1
"1312",2020-07-09,"Staten Island",18,2,1,0,0,19,21,1,1,1
"1313",2020-07-10,"Staten Island",13,0,3,0,0,20,21,1,1,1
"1314",2020-07-11,"Staten Island",13,1,0,0,0,20,21,1,0,0
"1315",2020-07-12,"Staten Island",13,0,0,0,0,20,21,1,0,0
"1316",2020-07-13,"Staten Island",35,2,4,0,1,21,23,1,0,1
"1317",2020-07-14,"Staten Island",19,0,1,0,0,19,20,1,0,0
"1318",2020-07-15,"Staten Island",22,1,2,0,0,19,20,2,0,0
"1319",2020-07-16,"Staten Island",35,0,3,0,0,21,22,2,0,0
"1320",2020-07-17,"Staten Island",23,0,1,0,0,23,23,2,0,0
"1321",2020-07-18,"Staten Island",19,2,1,0,0,24,24,2,0,0
"1322",2020-07-19,"Staten Island",17,1,2,0,0,24,25,2,0,0
"1323",2020-07-20,"Staten Island",32,1,3,0,0,24,25,2,0,0
"1324",2020-07-21,"Staten Island",21,0,3,0,0,24,25,2,0,0
"1325",2020-07-22,"Staten Island",20,0,2,0,0,24,24,2,0,0
"1326",2020-07-23,"Staten Island",27,0,4,0,0,23,23,2,0,0
"1327",2020-07-24,"Staten Island",28,3,2,1,0,23,24,2,0,0
"1328",2020-07-25,"Staten Island",13,0,4,0,0,23,23,3,0,0
"1329",2020-07-26,"Staten Island",19,0,2,0,0,23,23,3,0,0
"1330",2020-07-27,"Staten Island",26,1,1,0,0,22,23,3,0,0
"1331",2020-07-28,"Staten Island",19,2,3,0,1,22,23,3,0,0
"1332",2020-07-29,"Staten Island",13,1,2,1,0,21,22,3,0,0
"1333",2020-07-30,"Staten Island",12,0,1,0,0,19,20,2,0,0
"1334",2020-07-31,"Staten Island",18,2,2,0,0,17,18,2,0,0
"1335",2020-08-01,"Staten Island",7,2,2,0,0,16,17,2,0,0
"1336",2020-08-02,"Staten Island",8,0,4,0,0,15,16,2,0,0
"1337",2020-08-03,"Staten Island",19,0,1,0,0,14,15,2,0,0
"1338",2020-08-04,"Staten Island",7,1,1,0,0,12,13,2,0,0
"1339",2020-08-05,"Staten Island",15,0,0,0,0,12,13,2,0,0
"1340",2020-08-06,"Staten Island",18,0,3,0,0,13,14,2,0,0
"1341",2020-08-07,"Staten Island",6,2,0,0,0,11,12,2,0,0
"1342",2020-08-08,"Staten Island",7,2,1,0,0,11,12,1,0,0
"1343",2020-08-09,"Staten Island",12,0,1,0,0,12,13,1,0,0
"1344",2020-08-10,"Staten Island",22,1,2,0,0,12,13,1,0,0
"1345",2020-08-11,"Staten Island",18,1,3,0,0,14,15,1,0,0
"1346",2020-08-12,"Staten Island",18,1,2,0,1,14,15,2,0,0
"1347",2020-08-13,"Staten Island",12,2,0,0,0,14,15,1,0,0
"1348",2020-08-14,"Staten Island",16,1,2,1,0,15,16,2,0,0
"1349",2020-08-15,"Staten Island",9,3,2,0,0,15,17,2,0,0
"1350",2020-08-16,"Staten Island",7,0,1,0,0,15,16,2,0,0
"1351",2020-08-17,"Staten Island",14,0,0,1,0,13,15,1,0,0
"1352",2020-08-18,"Staten Island",14,1,2,0,0,13,14,1,0,0
"1353",2020-08-19,"Staten Island",18,1,0,0,0,13,14,1,0,0
"1354",2020-08-20,"Staten Island",20,0,1,0,0,14,15,1,0,0
"1355",2020-08-21,"Staten Island",14,1,0,0,0,14,15,1,0,0
"1356",2020-08-22,"Staten Island",7,1,0,1,0,13,14,1,0,0
"1357",2020-08-23,"Staten Island",7,0,1,0,0,13,14,1,0,0
"1358",2020-08-24,"Staten Island",15,1,2,1,0,14,14,1,0,0
"1359",2020-08-25,"Staten Island",12,0,0,0,0,13,14,1,0,0
"1360",2020-08-26,"Staten Island",16,3,3,0,0,13,14,1,0,0
"1361",2020-08-27,"Staten Island",13,1,2,0,0,12,13,1,0,0
"1362",2020-08-28,"Staten Island",21,0,1,0,0,13,14,1,0,0
"1363",2020-08-29,"Staten Island",7,2,1,0,0,13,14,1,0,0
"1364",2020-08-30,"Staten Island",24,0,4,0,0,15,16,2,0,0
"1365",2020-08-31,"Staten Island",22,0,1,0,0,16,17,2,0,0
"1366",2020-09-01,"Staten Island",24,1,1,1,0,18,19,2,0,0
"1367",2020-09-02,"Staten Island",17,0,0,0,0,18,19,1,0,0
"1368",2020-09-03,"Staten Island",17,3,1,0,0,19,20,1,0,0
"1369",2020-09-04,"Staten Island",26,2,2,0,0,20,21,1,0,0
"1370",2020-09-05,"Staten Island",24,0,0,0,0,22,23,1,0,0
"1371",2020-09-06,"Staten Island",13,1,1,0,0,20,21,1,0,0
"1372",2020-09-07,"Staten Island",19,0,1,0,0,20,21,1,0,0
"1373",2020-09-08,"Staten Island",30,2,1,0,0,21,22,1,0,0
"1374",2020-09-09,"Staten Island",25,2,0,0,0,22,23,1,0,0
"1375",2020-09-10,"Staten Island",27,0,4,0,0,23,24,1,0,0
"1376",2020-09-11,"Staten Island",16,1,2,0,0,22,23,1,0,0
"1377",2020-09-12,"Staten Island",19,1,1,0,0,21,22,1,0,0
"1378",2020-09-13,"Staten Island",14,1,1,0,0,21,22,1,0,0
"1379",2020-09-14,"Staten Island",26,0,3,0,0,22,23,2,0,0
"1380",2020-09-15,"Staten Island",18,1,0,0,0,21,22,2,0,0
"1381",2020-09-16,"Staten Island",17,2,1,1,0,20,20,2,0,0
"1382",2020-09-17,"Staten Island",25,0,1,0,0,19,20,1,0,0
"1383",2020-09-18,"Staten Island",24,2,1,0,0,20,21,1,0,0
"1384",2020-09-19,"Staten Island",13,2,1,0,0,20,21,1,0,0
"1385",2020-09-20,"Staten Island",21,2,2,0,0,21,22,1,0,0
"1386",2020-09-21,"Staten Island",24,4,2,0,0,20,22,1,0,0
"1387",2020-09-22,"Staten Island",25,1,0,0,0,21,23,1,0,0
"1388",2020-09-23,"Staten Island",37,1,0,1,0,24,26,1,0,0
"1389",2020-09-24,"Staten Island",26,4,3,0,0,24,27,1,0,0
"1390",2020-09-25,"Staten Island",28,7,1,0,0,25,28,1,0,0
"1391",2020-09-26,"Staten Island",33,2,2,0,0,28,31,1,0,0
"1392",2020-09-27,"Staten Island",28,1,3,0,0,29,32,2,0,0
"1393",2020-09-28,"Staten Island",46,3,1,0,0,32,35,1,0,0
"1394",2020-09-29,"Staten Island",33,1,4,0,0,33,36,2,0,0
"1395",2020-09-30,"Staten Island",40,3,0,0,0,33,36,2,0,0
"1396",2020-10-01,"Staten Island",25,2,1,0,0,33,36,2,0,0
"1397",2020-10-02,"Staten Island",35,9,2,0,0,34,37,2,0,0
"1398",2020-10-03,"Staten Island",17,10,2,1,0,32,36,2,0,0
"1399",2020-10-04,"Staten Island",26,11,3,1,0,32,37,2,0,0
"1400",2020-10-05,"Staten Island",37,8,2,0,0,30,37,2,0,0
"1401",2020-10-06,"Staten Island",29,5,2,0,0,30,37,2,0,0
"1402",2020-10-07,"Staten Island",37,10,0,0,0,29,37,2,0,0
"1403",2020-10-08,"Staten Island",33,3,4,0,0,31,39,2,0,0
"1404",2020-10-09,"Staten Island",30,13,3,0,0,30,38,2,0,0
"1405",2020-10-10,"Staten Island",34,9,4,1,0,32,41,3,0,0
"1406",2020-10-11,"Staten Island",14,6,1,0,0,31,38,2,0,0
"1407",2020-10-12,"Staten Island",37,2,0,1,0,31,37,2,0,0
"1408",2020-10-13,"Staten Island",45,8,5,0,0,33,40,2,0,0
"1409",2020-10-14,"Staten Island",33,9,6,0,1,32,39,3,0,0
"1410",2020-10-15,"Staten Island",40,7,2,0,0,33,41,3,0,0
"1411",2020-10-16,"Staten Island",36,12,4,0,1,34,42,3,0,1
"1412",2020-10-17,"Staten Island",39,8,6,0,0,35,42,3,0,0
"1413",2020-10-18,"Staten Island",33,18,4,1,0,38,47,4,0,1
"1414",2020-10-19,"Staten Island",35,14,4,1,0,37,48,4,0,1
"1415",2020-10-20,"Staten Island",38,16,4,0,0,36,48,4,0,1
"1416",2020-10-21,"Staten Island",49,12,4,1,0,39,51,4,0,1
"1417",2020-10-22,"Staten Island",76,26,5,0,0,44,59,4,0,1
"1418",2020-10-23,"Staten Island",48,13,4,1,0,45,61,4,1,1
"1419",2020-10-24,"Staten Island",32,15,4,0,0,44,61,4,1,1
"1420",2020-10-25,"Staten Island",32,20,4,1,0,44,61,4,1,1
"1421",2020-10-26,"Staten Island",68,37,4,0,0,49,69,4,0,0
"1422",2020-10-27,"Staten Island",76,28,3,0,0,54,76,4,0,0
"1423",2020-10-28,"Staten Island",89,30,4,1,0,60,84,4,0,0
"1424",2020-10-29,"Staten Island",55,35,4,0,0,57,83,4,0,0
"1425",2020-10-30,"Staten Island",74,28,7,2,0,61,88,4,1,1
"1426",2020-10-31,"Staten Island",52,17,5,0,0,64,92,4,1,1
"1427",2020-11-01,"Staten Island",44,23,7,1,0,65,94,5,1,1
"1428",2020-11-02,"Staten Island",93,45,5,0,0,69,98,5,1,1
"1429",2020-11-03,"Staten Island",92,45,4,0,0,71,103,5,1,1
"1430",2020-11-04,"Staten Island",137,48,4,1,0,78,113,5,1,1
"1431",2020-11-05,"Staten Island",110,52,9,0,0,86,123,6,1,1
"1432",2020-11-06,"Staten Island",126,58,1,1,0,93,135,5,0,0
"1433",2020-11-07,"Staten Island",88,57,3,1,0,99,145,5,1,1
"1434",2020-11-08,"Staten Island",99,62,11,1,0,106,159,5,1,1
"1435",2020-11-09,"Staten Island",202,70,7,0,0,122,178,6,1,1
"1436",2020-11-10,"Staten Island",145,92,8,0,0,130,192,6,1,1
"1437",2020-11-11,"Staten Island",168,51,18,1,0,134,197,8,1,1
"1438",2020-11-12,"Staten Island",161,63,10,2,0,141,206,8,1,1
"1439",2020-11-13,"Staten Island",173,60,9,1,0,148,213,9,1,1
"1440",2020-11-14,"Staten Island",113,56,9,1,0,152,216,10,1,1
"1441",2020-11-15,"Staten Island",151,53,12,4,0,159,223,10,1,1
"1442",2020-11-16,"Staten Island",183,72,7,2,0,156,220,10,2,2
"1443",2020-11-17,"Staten Island",190,49,8,2,0,163,220,10,2,2
"1444",2020-11-18,"Staten Island",197,53,11,2,0,167,225,9,2,2
"1445",2020-11-19,"Staten Island",199,50,21,0,0,172,228,11,2,2
"1446",2020-11-20,"Staten Island",220,40,19,1,0,179,232,12,2,2
"1447",2020-11-21,"Staten Island",159,34,16,4,0,186,236,13,2,2
"1448",2020-11-22,"Staten Island",177,37,19,0,0,189,237,14,2,2
"1449",2020-11-23,"Staten Island",287,58,21,1,0,204,250,16,1,1
"1450",2020-11-24,"Staten Island",236,48,18,3,0,211,256,18,2,2
"1451",2020-11-25,"Staten Island",291,64,18,4,0,224,271,19,2,2
"1452",2020-11-26,"Staten Island",91,33,20,2,0,209,254,19,2,2
"1453",2020-11-27,"Staten Island",267,78,28,5,1,215,266,20,3,3
"1454",2020-11-28,"Staten Island",210,54,12,1,0,223,276,19,2,2
"1455",2020-11-29,"Staten Island",276,67,21,4,0,237,294,20,3,3
"1456",2020-11-30,"Staten Island",372,92,15,2,1,249,311,19,3,3
"1457",2020-12-01,"Staten Island",356,108,24,9,1,266,337,20,4,4
"1458",2020-12-02,"Staten Island",380,93,18,4,0,279,354,20,4,4
"1459",2020-12-03,"Staten Island",331,91,36,3,0,313,396,22,4,4
"1460",2020-12-04,"Staten Island",322,58,23,6,1,321,401,21,4,5
"1461",2020-12-05,"Staten Island",239,85,19,4,1,325,410,22,5,5
"1462",2020-12-06,"Staten Island",213,53,21,2,0,316,399,22,4,5
"1463",2020-12-07,"Staten Island",364,79,35,2,0,315,396,25,4,5
"1464",2020-12-08,"Staten Island",288,75,20,4,0,305,382,25,4,4
"1465",2020-12-09,"Staten Island",310,63,30,5,0,295,367,26,4,4
"1466",2020-12-10,"Staten Island",267,60,23,2,0,286,354,24,4,4
"1467",2020-12-11,"Staten Island",256,60,19,7,0,277,345,24,4,4
"1468",2020-12-12,"Staten Island",210,29,26,8,0,273,332,25,4,4
"1469",2020-12-13,"Staten Island",239,56,17,6,1,276,337,24,5,5
"1470",2020-12-14,"Staten Island",308,92,18,4,0,268,330,22,5,5
"1471",2020-12-15,"Staten Island",298,62,15,5,1,270,330,21,5,6
"1472",2020-12-16,"Staten Island",217,51,12,4,0,256,315,19,5,5
"1473",2020-12-17,"Staten Island",168,54,16,5,0,242,300,18,6,6
"1474",2020-12-18,"Staten Island",193,68,17,2,1,233,292,17,5,5
"1475",2020-12-19,"Staten Island",127,74,14,3,0,221,287,16,4,5
