,,,,,High School Graduation : Summarize,,,,,
Topic: Health Behavior and Population,,,,,,,,,,
Subtopic: Social and Economic Conditions,,,,,,,,,,
Indicator Name: High School Graduation,,,,,,,,,,
Indicator Description: ,,,,,,,,,,
,,,,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,High School Graduation,"113,246",84.6,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,High School Graduation,"74,082",81.1,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,High School Graduation,"80,671",88.8,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,High School Graduation,"74,790",80.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,High School Graduation,"127,658",87.8,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bensonhurst,21,High School Graduation,"101,318",73.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Borough Park,22,High School Graduation,"69,081",76.9,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brooklyn Heights/Fort Greene,12,High School Graduation,"91,088",89.5,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brownsville/Ocean Hill,26,High School Graduation,"57,762",74.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bushwick,14,High School Graduation,"61,859",69.3,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Central Harlem,36,High School Graduation,"78,574",81.6,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Chelsea/Clinton/Midtown,31,High School Graduation,"118,021",94.3,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Coney Island,23,High School Graduation,"68,009",81.8,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East Flatbush,27,High School Graduation,"81,377",85.7,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - East Harlem,37,High School Graduation,"63,957",74.3,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - East New York/Starret City,15,High School Graduation,"79,236",78.6,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Elmhurst/Corona,42,High School Graduation,"70,492",71.1,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatbush,24,High School Graduation,"88,044",82.6,,,
2013-17,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Flatlands/Canarsie,28,High School Graduation,"125,777",87.6,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Flushing/Whitestone,45,High School Graduation,"146,148",77.1,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Forest Hills/Rego Park,44,High School Graduation,"83,010",92.0,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Greenwich Village/Financial District,29,High School Graduation,"117,469",96.0,,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Highbridge/South Concourse,3,High School Graduation,"57,777",65.3,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Hillcrest/Fresh Meadows,46,High School Graduation,"97,041",85.5,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Howard Beach/South Ozone Park,48,High School Graduation,"73,994",76.9,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Jackson Heights,41,High School Graduation,"87,710",70.8,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Jamaica,50,High School Graduation,"133,121",80.9,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Kew Gardens/Woodhaven,47,High School Graduation,"81,466",77.8,,,
2013-17,Neighborhood (Sub-borough/PUMA),Bronx,borough/PUMA) - Kingsbridge Heights/Mosholu,5,High School Graduation,"57,645",68.6,,,
2013-17,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Lower East Side/Chinatown,30,High School Graduation,"92,228",74.4,,,
2013-17,Neighborhood (Sub-borough/PUMA),Staten Island,borough/PUMA) - Mid Island,54,High School Graduation,"85,468",88.5,,,
2013-17,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Middle Village/Ridgewood,43,High School Graduation,"107,276",84.0,,,
