zipcode,neighborhood_name,borough_group,positive,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,total_covid_tests,day,newcases
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1333,3131.98,42560.99,80,187.97,17.02,7834,2020-08-01,0
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1536,2861.1,53685.66,82,152.74,14.98,10256,2020-08-01,0
10307,Tottenville,Staten Island,411,2701.36,15214.56,15,98.59,16.44,2500,2020-08-01,1
10308,Great Kills,Staten Island,690,2328.3,29635.33,28,94.48,14.92,4625,2020-08-01,0
10309,Charleston/Prince's Bay/Woodrow,Staten Island,900,2726.86,33004.98,31,93.93,15.44,5829,2020-08-01,3
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,741,3104.19,23870.96,33,138.24,15.8,4691,2020-08-01,1
10312,Annadale/Rossville,Staten Island,1635,2711.25,60304.33,59,97.84,15.74,10389,2020-08-01,2
10314,Bloomfield/Freshkills Park,Staten Island,2817,3101.25,90834.29,201,221.28,16.55,17017,2020-08-01,2
10451,Concourse/Melrose,Bronx,1676,3512.24,47718.77,149,312.25,16.41,10212,2020-08-01,0
10452,Concourse/Highbridge,Bronx,2630,3414.03,77035.04,170,220.68,17.44,15084,2020-08-01,3
10453,Morris Heights/Mount Hope/University Heights,Bronx,2609,3213.69,81184.04,164,202.01,18.34,14223,2020-08-01,5
10454,Mott Haven/Port Morris,Bronx,1243,3251.93,38223.41,105,274.7,16.36,7599,2020-08-01,3
10455,Mott Haven,Bronx,1407,3336.15,42174.38,110,260.82,17.5,8040,2020-08-01,4
10456,Claremont/Morrisania,Bronx,2752,2945.15,93441.91,290,310.35,16.09,17101,2020-08-01,2
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2417,3236.26,74685.06,186,249.05,16.34,14795,2020-08-01,6
10458,Belmont/Fordham University/Kingsbridge,Bronx,2306,2751.54,83807.74,126,150.34,17.13,13463,2020-08-01,3
10459,Charlotte Gardens/Hunts Point,Bronx,1626,3362.66,48354.56,166,343.3,17.3,9397,2020-08-01,2
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1813,3017.98,60073.25,127,211.41,17.49,10364,2020-08-01,2
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,1946,3932.94,49479.56,138,278.9,17.67,11013,2020-08-01,0
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2416,3124.18,77332.41,183,236.64,16.42,14715,2020-08-01,2
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2196,3080.49,71287.33,214,300.19,14.25,15411,2020-08-01,2
10464,City Island,Bronx,132,3032.28,4353.16,9,206.75,13.82,955,2020-08-01,0
10465,Country Club/Throgs Neck,Bronx,1568,3643.93,43030.43,85,197.53,17.16,9137,2020-08-01,1
10466,Edenwald/Wakefield,Bronx,2552,3536.26,72166.65,168,232.79,19.63,13000,2020-08-01,2
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,3711,3682.13,100784.05,319,316.52,18.38,20188,2020-08-01,-1
10468,Fordham/Kingsbridge/University Heights,Bronx,3010,3925.35,76681.12,220,286.9,17.91,16805,2020-08-01,2
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3183,4451.23,71508.25,361,504.84,19.79,16087,2020-08-01,-1
10470,Wakefield/Woodlawn,Bronx,479,3396.26,14103.75,20,141.81,16.67,2874,2020-08-01,0
10471,Fieldston/North Riverdale/Riverdale,Bronx,844,3972.27,21247.28,85,400.05,14.55,5799,2020-08-01,1
10472,Soundview,Bronx,2159,3179.02,67913.94,188,276.82,19.84,10881,2020-08-01,1
10473,Castle Hill/Clason Point/Soundview,Bronx,2094,3381.49,61925.28,137,221.23,17.74,11803,2020-08-01,6
10474,Hunts Point,Bronx,348,2797.86,12438.07,21,168.84,17.29,2013,2020-08-01,0
10475,Co-op City/Edenwald,Bronx,1826,4174.36,43743.21,176,402.35,19.49,9371,2020-08-01,1
11004,Bellerose/Douglaston-Little Neck,Queens,616,3283.84,18758.55,68,362.5,13.61,4526,2020-08-01,0
11101,Astoria (South)/Long Island City/Sunnyside,Queens,706,2005.45,35204.11,40,113.62,8.37,8430,2020-08-01,0
11102,Astoria (North),Queens,689,2111.36,32632.92,80,245.15,10.77,6397,2020-08-01,2
11103,Astoria (North)/Astoria (South),Queens,629,1719.25,36585.65,52,142.13,9.28,6776,2020-08-01,1
11104,Sunnyside,Queens,539,2175.52,24775.7,42,169.52,10.34,5214,2020-08-01,1
11105,Ditmars Steinway,Queens,534,1487.68,35894.88,43,119.79,8.39,6367,2020-08-01,1
11106,Astoria (South),Queens,743,1921.66,38664.4,53,137.08,10.48,7090,2020-08-01,0
11109,Long Island City,Queens,61,1203,5070.64,2,39.44,5.2,1173,2020-08-01,1
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,797,1308.53,60908.15,95,155.97,5.64,14124,2020-08-01,3
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,2213,3015.3,73392.42,242,329.73,17.63,12553,2020-08-01,1
11204,Bensonhurst/Mapleton,Brooklyn,2153,2714.24,79322.45,143,180.28,15.85,13581,2020-08-01,3
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,798,1813.09,44013.21,50,113.6,9.73,8202,2020-08-01,0
11206,Williamsburg (South),Brooklyn,1763,2062.07,85496.61,153,178.95,11.6,15203,2020-08-01,4
11207,Cypress Hills/East New York,Brooklyn,2326,2608.89,89156.75,216,242.27,16.13,14420,2020-08-01,6
11208,Cypress Hills/East New York,Brooklyn,2613,2733.04,95607.69,249,260.44,17.55,14888,2020-08-01,4
11209,Bay Ridge/Fort Hamilton,Brooklyn,1224,1824.66,67081.12,115,171.43,10.24,11956,2020-08-01,0
11210,Flatlands/Midwood,Brooklyn,1821,2714.29,67089.29,150,223.58,16.36,11131,2020-08-01,0
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,2278,2287.27,99594.67,138,138.56,10.61,21478,2020-08-01,6
11212,Ocean Hill-Brownsville,Brooklyn,2069,2599.57,79589.99,233,292.75,16.57,12484,2020-08-01,6
11213,Crown Heights (East),Brooklyn,1525,2367.06,64425.94,148,229.72,13.45,11337,2020-08-01,0
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,1690,1810.71,93333.46,182,195,13.01,12994,2020-08-01,6
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,675,965.22,69932.3,46,65.78,5.27,12807,2020-08-01,3
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,831,1496.28,55537.72,76,136.84,8.07,10296,2020-08-01,2
11217,Boerum Hill/Park Slope,Brooklyn,677,1425.96,47476.67,86,181.14,7.99,8469,2020-08-01,1
11218,Kensington/Windsor Terrace,Brooklyn,1866,2461.53,75806.47,137,180.72,13.59,13731,2020-08-01,0
11219,Borough Park,Brooklyn,3231,3479.5,92858.07,235,253.07,16.13,20037,2020-08-01,5
11220,Sunset Park,Brooklyn,1811,1839.51,98450,166,168.61,13.69,13232,2020-08-01,16
11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,1483,1815.79,81672.44,146,178.76,10.81,13718,2020-08-01,8
11222,Greenpoint,Brooklyn,517,1422.32,36349.16,32,88.04,6.17,8384,2020-08-01,5
11223,Gravesend/Homecrest,Brooklyn,1851,2314.99,79957.11,144,180.1,14.76,12541,2020-08-01,1
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,1319,2964.89,44487.34,213,478.79,17.05,7738,2020-08-01,1
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,1244,2155.55,57711.49,140,242.59,11.93,10429,2020-08-01,3
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,2503,2526.72,99061.32,302,304.86,14.76,16961,2020-08-01,7
11228,Bath Beach/Dyker Heights,Brooklyn,738,1669.11,44215.08,82,185.46,12.72,5803,2020-08-01,4
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,1901,2238.86,84909.16,151,177.84,11.35,16751,2020-08-01,4
11230,Midwood,Brooklyn,2534,2841.9,89165.77,228,255.7,14.82,17099,2020-08-01,3
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,458,1238.02,36994.7,34,91.91,6.41,7148,2020-08-01,0
11232,Sunset Park,Brooklyn,603,2132.92,28271.09,42,148.56,12.98,4647,2020-08-01,0
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1393,1930.82,72145.54,136,188.51,13.9,10021,2020-08-01,2
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2377,2494.1,95304.8,195,204.61,16.28,14597,2020-08-01,2
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2204,2770.93,79540.14,299,375.91,14.77,14926,2020-08-01,2
11236,Canarsie,Brooklyn,2933,3028.49,96846.99,298,307.7,18.82,15585,2020-08-01,7
11237,Bushwick/East Williamsburg,Brooklyn,1090,2150.08,50695.72,114,224.87,11.85,9202,2020-08-01,0
11238,Clinton Hill/Prospect Heights,Brooklyn,867,1605.09,54015.79,104,192.54,7.26,11941,2020-08-01,0
11239,East New York,Brooklyn,554,4462.93,12413.37,89,716.97,16.37,3385,2020-08-01,0
11354,Flushing/Murray Hill,Queens,1363,2455.05,55518.32,296,533.16,12.13,11241,2020-08-01,5
11355,Flushing/Murray Hill/Queensboro Hill,Queens,1530,1912.17,80013.97,168,209.96,12.21,12527,2020-08-01,2
11356,College Point,Queens,610,2615.47,23322.74,42,180.08,15.7,3885,2020-08-01,0
11357,Whitestone,Queens,881,2203.85,39975.56,104,260.16,13.02,6765,2020-08-01,1
11358,Auburndale/Murray Hill,Queens,622,1750.07,35541.5,43,120.99,10.36,6001,2020-08-01,1
11360,Bayside (North),Queens,336,1781.25,18863.17,27,143.14,9.79,3431,2020-08-01,0
11361,Bayside (North)/Bayside (South),Queens,485,1733.88,27971.99,57,203.78,10.81,4487,2020-08-01,0
11362,Douglaston-Little Neck,Queens,347,1956.25,17738.01,36,202.95,11.85,2929,2020-08-01,1
11363,Douglaston-Little Neck,Queens,105,1466.68,7159.03,5,69.84,10,1050,2020-08-01,0
11364,Bayside (South)/Oakland Gardens,Queens,490,1417.72,34562.6,35,101.27,9.88,4959,2020-08-01,0
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,919,2086.23,44050.79,67,152.1,13.12,7006,2020-08-01,1
11366,Fresh Meadows/Hillcrest,Queens,408,2961.37,13777.39,28,203.23,17.34,2353,2020-08-01,0
11367,Kew Gardens Hills/Pomonok,Queens,1126,2678.45,42039.24,67,159.37,15.08,7465,2020-08-01,0
11368,Corona/North Corona,Queens,4974,4457.22,111594.1,444,397.87,20.88,23820,2020-08-01,10
11369,Airport/East Elmhurst,Queens,1707,4681.56,36462.23,179,490.92,21.59,7905,2020-08-01,1
11370,Jackson Heights/Rikers Island,Queens,1409,4301.15,32758.65,64,195.37,20.49,6876,2020-08-01,0
11372,Jackson Heights,Queens,2734,4370,62562.88,257,410.79,18,15191,2020-08-01,1
11373,Elmhurst,Queens,3436,3699.56,92875.81,296,318.71,17.34,19821,2020-08-01,11
11374,Rego Park,Queens,1144,2720.72,42047.63,99,235.45,15.11,7569,2020-08-01,3
11375,Forest Hills,Queens,1524,2160.08,70552.99,181,256.54,12.92,11792,2020-08-01,0
11377,Woodside,Queens,2442,2824.15,86468.55,195,225.52,14.03,17400,2020-08-01,5
11378,Maspeth,Queens,797,2303.9,34593.45,74,213.91,13.27,6007,2020-08-01,1
11379,Middle Village,Queens,870,2403.61,36195.55,97,267.99,13.69,6357,2020-08-01,0
11385,Glendale/Ridgewood,Queens,2372,2304.48,102929.91,142,137.96,14.31,16574,2020-08-01,6
11411,Cambria Heights,Queens,721,3518.06,20494.26,50,243.97,21.36,3376,2020-08-01,1
11412,St. Albans,Queens,1306,3319.19,39346.92,91,231.28,20.13,6488,2020-08-01,0
11413,Laurelton/Rosedale,Queens,1392,3189.15,43647.97,103,235.98,20.42,6818,2020-08-01,3
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,848,3000.12,28265.56,63,222.89,18.68,4540,2020-08-01,1
11415,Kew Gardens,Queens,560,2911.47,19234.25,51,265.15,15.66,3577,2020-08-01,0
11416,Ozone Park,Queens,761,2859.35,26614.42,55,206.65,19.03,3999,2020-08-01,1
11417,Ozone Park,Queens,933,2983.63,31270.63,46,147.1,17.63,5291,2020-08-01,0
11418,Richmond Hill,Queens,1188,3117.69,38105.16,106,278.18,18.3,6491,2020-08-01,1
11419,Richmond Hill/South Ozone Park,Queens,1285,2527.1,50848.81,98,192.73,19.72,6516,2020-08-01,0
11420,South Ozone Park,Queens,1447,2988.7,48415.71,107,221,19.86,7286,2020-08-01,2
11421,Woodhaven,Queens,1270,3008.8,42209.49,103,244.02,18.49,6869,2020-08-01,6
11422,Rosedale,Queens,1055,3128.56,33721.62,67,198.69,19.59,5385,2020-08-01,0
11423,Hollis/Holliswood,Queens,1138,3551.68,32041.14,105,327.7,20.68,5502,2020-08-01,1
11426,Bellerose,Queens,522,2563.44,20363.28,34,166.97,17.26,3025,2020-08-01,1
11427,Bellerose/Hollis Hills/Holliswood,Queens,828,3567.06,23212.38,51,219.71,18.41,4498,2020-08-01,0
11428,Queens Village,Queens,702,3632.14,19327.45,54,279.4,20.79,3377,2020-08-01,2
11429,Queens Village,Queens,1019,3634.57,28036.33,75,267.51,20.03,5087,2020-08-01,0
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1936,3063.51,63195.4,254,401.93,18.11,10690,2020-08-01,3
11433,Jamaica,Queens,1009,2800,36035.76,79,219.23,18.16,5556,2020-08-01,0
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2214,3278.25,67536.11,197,291.7,19.48,11363,2020-08-01,2
11435,Briarwood/Jamaica,Queens,1726,2993.21,57663.84,150,260.13,18.15,9508,2020-08-01,1
11436,South Jamaica/South Ozone Park,Queens,573,2753.82,20807.42,46,221.07,19.05,3008,2020-08-01,1
11691,Edgemere/Far Rockaway,Queens,2577,3979.37,64759.02,372,574.44,17.47,14747,2020-08-01,6
11692,Arverne/Edgemere,Queens,672,3339.92,20120.24,93,462.22,15.87,4235,2020-08-01,0
11693,Arverne/Broad Channel,Queens,347,2802.62,12381.27,29,234.22,16.92,2051,2020-08-01,1
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,767,3767.97,20355.78,88,432.31,18.26,4200,2020-08-01,1
11697,Breezy Point,Queens,111,3138.53,3536.69,4,113.1,7.9,1405,2020-08-01,0
10001,Chelsea/NoMad/West Chelsea,Manhattan,421,1786.7,23563.03,25,106.1,6.87,6130,2020-08-02,1
10002,Chinatown/Lower East Side,Manhattan,1241,1616.82,76755.41,160,208.45,9.85,12602,2020-08-02,4
10003,East Village/Gramercy/Greenwich Village,Manhattan,516,959.08,53801.62,34,63.2,5.28,9772,2020-08-02,0
10004,Financial District,Manhattan,39,1068.32,3650.61,1,27.39,5.95,656,2020-08-02,0
10005,Financial District,Manhattan,81,964.73,8396.11,2,23.82,5.21,1554,2020-08-02,0
10006,Financial District,Manhattan,36,1041.13,3457.77,0,0,5.18,695,2020-08-02,0
10007,TriBeCa,Manhattan,71,860.63,8249.73,3,36.36,4.4,1612,2020-08-02,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,797,1356.64,58747.99,69,117.45,7.09,11248,2020-08-02,1
10010,Flatiron/Gramercy/Kips Bay,Manhattan,310,957.62,32371.86,19,58.69,4.71,6586,2020-08-02,0
10011,Chelsea,Manhattan,597,1206.05,49500.52,43,86.87,5.82,10254,2020-08-02,0
10012,Greenwich Village/SoHo,Manhattan,196,817.31,23981.2,9,37.53,4.81,4072,2020-08-02,3
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,308,1060.93,29031.09,21,72.34,5.03,6121,2020-08-02,2
10014,Hudson Square/Meatpacking District/West Village,Manhattan,360,1159.68,31043.16,29,93.42,5.27,6828,2020-08-02,0
10016,Kips Bay/Murray Hill/NoMad,Manhattan,800,1523.1,52524.35,49,93.29,6.83,11712,2020-08-02,0
10017,East Midtown/Murray Hill,Manhattan,162,1004.51,16127.22,8,49.61,5.11,3171,2020-08-02,0
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,246,2580.93,9531.44,5,52.46,7.2,3419,2020-08-02,1
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,671,1651.43,40631.45,42,103.37,6.83,9824,2020-08-02,1
10021,Lenox Hill/Upper East Side,Manhattan,616,1394.43,44175.61,64,144.88,6.23,9881,2020-08-02,0
10022,East Midtown,Manhattan,382,1259.28,30334.8,31,102.19,5.76,6628,2020-08-02,1
10023,Lincoln Square,Manhattan,622,1031.94,60274.81,54,89.59,5.33,11674,2020-08-02,0
10024,Upper West Side,Manhattan,803,1400.48,57337.68,75,130.8,6.62,12131,2020-08-02,3
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1485,1608.3,92333.47,176,190.61,7.09,20959,2020-08-02,0
10026,Central Harlem (South),Manhattan,721,1847.86,39018.03,47,120.46,10.57,6820,2020-08-02,0
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1143,1796.29,63631.04,113,177.59,10,11431,2020-08-02,-4
10028,Upper East Side/Yorkville,Manhattan,519,1055.84,49155.08,33,67.13,5.77,8991,2020-08-02,0
10029,East Harlem,Manhattan,1946,2468.24,78841.52,212,268.89,12.42,15671,2020-08-02,1
10030,Central Harlem (North),Manhattan,556,1896.19,29321.91,55,187.57,11.72,4745,2020-08-02,3
10031,Hamilton Heights/West Harlem,Manhattan,1451,2396.09,60556.93,132,217.98,12.44,11661,2020-08-02,1
10032,Washington Heights (South),Manhattan,1684,2738.54,61492.57,174,282.96,13.5,12472,2020-08-02,4
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1461,2467.47,59210.43,120,202.67,13.43,10881,2020-08-02,0
10034,Inwood/Washington Heights (North),Manhattan,818,1899.07,43073.65,71,164.83,10.84,7547,2020-08-02,4
10035,East Harlem,Manhattan,1099,3192.29,34426.65,134,389.23,14.19,7747,2020-08-02,1
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,499,1903.76,26211.25,40,152.61,7.95,6280,2020-08-02,1
10037,Central Harlem (North)/East Harlem,Manhattan,560,2711.91,20649.62,63,305.09,12.25,4571,2020-08-02,0
10038,Chinatown/Financial District,Manhattan,275,1247.28,22047.96,28,127,7.34,3749,2020-08-02,0
10039,Central Harlem (North)/Washington Heights (South),Manhattan,582,2199.75,26457.52,64,241.9,13.16,4423,2020-08-02,0
10040,Washington Heights (North),Manhattan,1232,2749.49,44808.28,118,263.34,13.84,8902,2020-08-02,3
10044,Roosevelt Island,Manhattan,253,2162.34,11700.29,36,307.68,11.41,2218,2020-08-02,0
10065,Lenox Hill/Upper East Side,Manhattan,345,1187.14,29061.49,28,96.35,5.22,6603,2020-08-02,0
10069,Lincoln Square,Manhattan,65,1025.54,6338.13,2,31.56,5.7,1140,2020-08-02,0
10075,Lenox Hill/Upper East Side,Manhattan,436,1844.79,23634.14,45,190.4,7.77,5610,2020-08-02,1
10128,Upper East Side/Yorkville,Manhattan,700,1140.96,61351.93,41,66.83,5.81,12052,2020-08-02,2
10280,Battery Park City,Manhattan,62,644.58,9618.7,0,0,5.06,1226,2020-08-02,0
10282,Battery Park City,Manhattan,80,1450.47,5515.44,15,271.96,9.58,835,2020-08-02,0
10301,Silver Lake/St. George,Staten Island,1283,3238.79,39613.55,106,267.59,16.05,7996,2020-08-02,2
10302,Elm Park,Staten Island,671,3574.09,18773.99,32,170.45,20.08,3341,2020-08-02,4
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,923,3518.65,26231.66,46,175.36,18.07,5107,2020-08-02,0
10304,New Dorp/Todt Hill,Staten Island,1472,3467.71,42448.71,182,428.75,17.02,8647,2020-08-02,4
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1333,3131.98,42560.99,80,187.97,16.82,7923,2020-08-02,0
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1538,2864.82,53685.66,82,152.74,14.83,10371,2020-08-02,2
10307,Tottenville,Staten Island,411,2701.36,15214.56,15,98.59,16.22,2534,2020-08-02,0
10308,Great Kills,Staten Island,690,2328.3,29635.33,28,94.48,14.74,4681,2020-08-02,0
10309,Charleston/Prince's Bay/Woodrow,Staten Island,901,2729.89,33004.98,31,93.93,15.29,5893,2020-08-02,1
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,741,3104.19,23870.96,33,138.24,15.66,4732,2020-08-02,0
10312,Annadale/Rossville,Staten Island,1635,2711.25,60304.33,59,97.84,15.55,10517,2020-08-02,0
10314,Bloomfield/Freshkills Park,Staten Island,2820,3104.55,90834.29,201,221.28,16.39,17203,2020-08-02,3
10451,Concourse/Melrose,Bronx,1679,3518.53,47718.77,150,314.34,16.24,10341,2020-08-02,3
10452,Concourse/Highbridge,Bronx,2637,3423.12,77035.04,170,220.68,17.2,15327,2020-08-02,7
10453,Morris Heights/Mount Hope/University Heights,Bronx,2615,3221.08,81184.04,164,202.01,18.13,14422,2020-08-02,6
10454,Mott Haven/Port Morris,Bronx,1243,3251.93,38223.41,105,274.7,16.22,7662,2020-08-02,0
10455,Mott Haven,Bronx,1408,3338.52,42174.38,111,263.19,17.35,8113,2020-08-02,1
10456,Claremont/Morrisania,Bronx,2757,2950.5,93441.91,290,310.35,15.94,17297,2020-08-02,5
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2419,3238.93,74685.06,186,249.05,16.14,14984,2020-08-02,2
10458,Belmont/Fordham University/Kingsbridge,Bronx,2307,2752.73,83807.74,126,150.34,16.94,13622,2020-08-02,1
10459,Charlotte Gardens/Hunts Point,Bronx,1627,3364.73,48354.56,166,343.3,17.1,9515,2020-08-02,1
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1816,3022.98,60073.25,127,211.41,17.31,10492,2020-08-02,3
