zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
10307,2020-08-01,Tottenville,Staten Island,411,2701.36,15,98.59,6.572461386789352,1,15215
10308,2020-08-01,Great Kills,Staten Island,690,2328.3,28,94.48,0,0,29635
10309,2020-08-01,Charleston/Prince's Bay/Woodrow,Staten Island,900,2726.86,31,93.93,9.089531889107711,3,33005
10310,2020-08-01,Port Richmond/Randall Manor/West Brighton,Staten Island,741,3104.19,33,138.24,4.189183528130368,1,23871
10312,2020-08-01,Annadale/Rossville,Staten Island,1635,2711.25,59,97.84,3.316529583443884,2,60304
10314,2020-08-01,Bloomfield/Freshkills Park,Staten Island,2817,3101.25,201,221.28,2.201818702248057,2,90834
10451,2020-08-01,Concourse/Melrose,Bronx,1676,3512.24,149,312.25,0,0,47719
10452,2020-08-01,Concourse/Highbridge,Bronx,2630,3414.03,170,220.68,3.8943337444018953,3,77035
10453,2020-08-01,Morris Heights/Mount Hope/University Heights,Bronx,2609,3213.69,164,202.01,6.158849034292472,5,81184
10454,2020-08-01,Mott Haven/Port Morris,Bronx,1243,3251.93,105,274.7,7.848677497841614,3,38223
10455,2020-08-01,Mott Haven,Bronx,1407,3336.15,110,260.82,9.484516526770047,4,42174
10456,2020-08-01,Claremont/Morrisania,Bronx,2752,2945.15,290,310.35,2.140365146293958,2,93442
10457,2020-08-01,Belmont/Claremont/Mount Hope/Tremont,Bronx,2417,3236.26,186,249.05,8.033741715203856,6,74685
10458,2020-08-01,Belmont/Fordham University/Kingsbridge,Bronx,2306,2751.54,126,150.34,3.579610538373425,3,83808
10459,2020-08-01,Charlotte Gardens/Hunts Point,Bronx,1626,3362.66,166,343.3,4.136076931030917,2,48355
10460,2020-08-01,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1813,3017.98,127,211.41,3.3292827060409835,2,60073
10461,2020-08-01,Morris Park/Pelham Bay/Westchester Square,Bronx,1946,3932.94,138,278.9,0,0,49480
10462,2020-08-01,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2416,3124.18,183,236.64,2.586251487094605,2,77332
10463,2020-08-01,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2196,3080.49,214,300.19,2.8055606211511215,2,71287
10464,2020-08-01,City Island,Bronx,132,3032.28,9,206.75,0,0,4353
10465,2020-08-01,Country Club/Throgs Neck,Bronx,1568,3643.93,85,197.53,2.3239600278875203,1,43030
10466,2020-08-01,Edenwald/Wakefield,Bronx,2552,3536.26,168,232.79,2.771349785913229,2,72167
10467,2020-08-01,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,3711,3682.13,319,316.52,-0.9922209874583268,-1,100784
10468,2020-08-01,Fordham/Kingsbridge/University Heights,Bronx,3010,3925.35,220,286.9,2.6082080306725266,2,76681
10469,2020-08-01,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3183,4451.23,361,504.84,-1.3984449292386867,-1,71508
10470,2020-08-01,Wakefield/Woodlawn,Bronx,479,3396.26,20,141.81,0,0,14104
10471,2020-08-01,Fieldston/North Riverdale/Riverdale,Bronx,844,3972.27,85,400.05,4.706546806607991,1,21247
10472,2020-08-01,Soundview,Bronx,2159,3179.02,188,276.82,1.4724504520422887,1,67914
10473,2020-08-01,Castle Hill/Clason Point/Soundview,Bronx,2094,3381.49,137,221.23,9.689140088817117,6,61925
10474,2020-08-01,Hunts Point,Bronx,348,2797.86,21,168.84,0,0,12438
10475,2020-08-01,Co-op City/Edenwald,Bronx,1826,4174.36,176,402.35,2.2860800585236496,1,43743
11004,2020-08-01,Bellerose/Douglaston-Little Neck,Queens,616,3283.84,68,362.5,0,0,18759
11101,2020-08-01,Astoria (South)/Long Island City/Sunnyside,Queens,706,2005.45,40,113.62,0,0,35204
11102,2020-08-01,Astoria (North),Queens,689,2111.36,80,245.15,6.128765360218185,2,32633
11103,2020-08-01,Astoria (North)/Astoria (South),Queens,629,1719.25,52,142.13,2.733285956376756,1,36586
11104,2020-08-01,Sunnyside,Queens,539,2175.52,42,169.52,4.036164029706167,1,24776
11105,2020-08-01,Ditmars Steinway,Queens,534,1487.68,43,119.79,2.785903329154478,1,35895
11106,2020-08-01,Astoria (South),Queens,743,1921.66,53,137.08,0,0,38664
11109,2020-08-01,Long Island City,Queens,61,1203,2,39.44,19.7199763360284,1,5071
11201,2020-08-01,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,797,1308.53,95,155.97,4.925461351546595,3,60908
11203,2020-08-01,East Flatbush (North)/East Flatbush (South),Brooklyn,2213,3015.3,242,329.73,1.3625463265751034,1,73392
11204,2020-08-01,Bensonhurst/Mapleton,Brooklyn,2153,2714.24,143,180.28,3.7820528983132045,3,79322
11205,2020-08-01,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,798,1813.09,50,113.6,0,0,44013
11206,2020-08-01,Williamsburg (South),Brooklyn,1763,2062.07,153,178.95,4.678526731932115,4,85497
11207,2020-08-01,Cypress Hills/East New York,Brooklyn,2326,2608.89,216,242.27,6.729701537736801,6,89157
11208,2020-08-01,Cypress Hills/East New York,Brooklyn,2613,2733.04,249,260.44,4.183750313781274,4,95608
11209,2020-08-01,Bay Ridge/Fort Hamilton,Brooklyn,1224,1824.66,115,171.43,0,0,67081
11210,2020-08-01,Flatlands/Midwood,Brooklyn,1821,2714.29,150,223.58,0,0,67089
11211,2020-08-01,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,2278,2287.27,138,138.56,6.024398815201566,6,99595
11212,2020-08-01,Ocean Hill-Brownsville,Brooklyn,2069,2599.57,233,292.75,7.538635506973238,6,79590
